name,location,code
100고지,인천광역시 옹진군  ,287201304
116고지,대전광역시 동구  ,301106104
133고지,대전광역시 동구  ,301105704
136고지금성마을,대전광역시 동구  ,301102904
138고지,대전광역시 동구  ,301103004
157고지우송대뒷산,대전광역시 동구  ,301105804
159고지,대전광역시 동구  ,301105904
162고지가는골뒷산,대전광역시 동구  ,301103104
168고지,대전광역시 동구  ,301103204
175고지,대전광역시 동구  ,301106204
179고지,대전광역시 동구  ,301103304
201고지,대전광역시 동구  ,301103404
212고지,대전광역시 동구  ,301103504
가곡병풍바위,강원도 삼척시  ,422306704
가대리문화마을,충청북도 단양군  ,438003204
가덕도,부산광역시 강서구  ,264400404
가덕산,강원도 태백시 삼수동 ,421900101
가라산,경상남도 거제시  ,483100101
가래봉,경상남도 밀양시 단장면 ,482700101
가련산,전라북도 전주시  ,451100101
가리왕산,강원도 정선군 북평면 ,427700101
가마봉,충청남도 공주시  ,441500101
가마오름,제주도 제주시  ,491100504
가메오름,제주도 제주시  ,491102904
가산,경상북도 칠곡군 동명면 ,478500101
가섭산,충청북도 음성군 음성읍 ,437700201
가성산,충청북도 영동군 매곡면 ,437400101
가세오름,제주도 서귀포시  ,491300504
가수리,강원도 정선군 정선읍 ,427709304
가시악,제주도 서귀포시  ,491300604
가야산,전라남도 나주시 남평읍 ,461700101
가야산,전라남도 광양시 성황동 ,462300101
가양공원,대전광역시 동구  ,301103604
가오공원,대전광역시 동구  ,301103704
가은산,충청북도 제천시 수산면 ,431504101
가음산,전라남도 영광군  ,468701901
가재산금병산수양산줄기,충청남도 연기군  ,447302604
가좌산,경상남도 진주시 가좌동 ,481703201
가지산,울산광역시 울주군 상북면 ,317100101
가지산,전라남도 장흥군 장평면 ,468000101
가칠봉,강원도 인제군 기린면 ,428105201
가학산,경기도 광명시 소하동 ,412100501
가학산,전라남도 해남군 계곡면 ,468200201
가학산,전라남도 영암군  ,468302001
가학산,전라남도 완도군 소안면 ,468900101
가현산,인천광역시 서구 검단동 ,282600101
가현산금곡초,인천광역시 서구  ,282600904
각골산,경기도 오산시 청학동 ,413700901
각산,경상남도 사천시 동서동 ,482400101
각성산,경상남도 김해시 대동면 ,482500101
각시바위,제주도 서귀포시  ,491300704
각화사,경상북도 봉화군  ,479204704
각화산,경상북도 봉화군 춘양면 ,479200101
각흘산,경기도 포천시 이동면 ,416504501
각흘산석이바위,강원도 철원군 군서면 ,427803104
각희산,강원도 정선군 동면 ,427700301
각히산,강원도 정선군 임계면 ,427708901
간대산,강원도 삼척시 신기면 ,422300201
간성수성샘터산림욕장,강원도 고성군 간성읍 ,428203504
간월산,울산광역시 울주군 상북동 ,317104301
갈경산,강원도 삼척시  ,422305401
갈기산,경기도 의왕시  ,414300801
갈기산,경기도 양평군 청운면 ,418300101
갈기산,충청북도 영동군  ,437400201
갈두산,전라남도 해남군  ,468203401
갈라산,경상북도 안동시 남선면 ,471700101
갈리봉,대전광역시 동구  ,301102201
갈마산,전라남도 영암군  ,468302101
갈마산,경상남도 합천군 용주면 ,488900101
